原始数据+原始评估
Start training...
Epoch: [2][0/6349]      Loss 0.1628 (0.1628)    Accuracy 0.734 (0.734)
Epoch: [2][200/6349]    Loss 0.2271 (0.2305)    Accuracy 0.703 (0.664)
Epoch: [2][400/6349]    Loss 0.2307 (0.2311)    Accuracy 0.672 (0.667)
Epoch: [2][600/6349]    Loss 0.1581 (0.2326)    Accuracy 0.625 (0.669)
Epoch: [2][800/6349]    Loss 0.1762 (0.2327)    Accuracy 0.656 (0.667)
Epoch: [2][1000/6349]   Loss 0.1894 (0.2324)    Accuracy 0.641 (0.668)
Epoch: [2][1200/6349]   Loss 0.1983 (0.2325)    Accuracy 0.719 (0.669)
Epoch: [2][1400/6349]   Loss 0.1824 (0.2320)    Accuracy 0.688 (0.668)
Epoch: [2][1600/6349]   Loss 0.2278 (0.2330)    Accuracy 0.703 (0.668)
Epoch: [2][1800/6349]   Loss 0.2178 (0.2320)    Accuracy 0.656 (0.669)
Epoch: [2][2000/6349]   Loss 0.2116 (0.2311)    Accuracy 0.734 (0.669)
Epoch: [2][2200/6349]   Loss 0.3561 (0.2304)    Accuracy 0.547 (0.669)
Epoch: [2][2400/6349]   Loss 0.2217 (0.2300)    Accuracy 0.656 (0.669)
Epoch: [2][2600/6349]   Loss 0.2511 (0.2305)    Accuracy 0.672 (0.669)
Epoch: [2][2800/6349]   Loss 0.1422 (0.2306)    Accuracy 0.656 (0.669)
Epoch: [2][3000/6349]   Loss 0.2992 (0.2305)    Accuracy 0.641 (0.669)
Epoch: [2][3200/6349]   Loss 0.2641 (0.2302)    Accuracy 0.562 (0.670)
Epoch: [2][3400/6349]   Loss 0.1881 (0.2303)    Accuracy 0.688 (0.670)
Epoch: [2][3600/6349]   Loss 0.2691 (0.2303)    Accuracy 0.719 (0.670)
Epoch: [2][3800/6349]   Loss 0.2141 (0.2304)    Accuracy 0.656 (0.670)
Epoch: [2][4000/6349]   Loss 0.3998 (0.2305)    Accuracy 0.547 (0.670)
Epoch: [2][4200/6349]   Loss 0.3127 (0.2302)    Accuracy 0.703 (0.671)
Epoch: [2][4400/6349]   Loss 0.1595 (0.2302)    Accuracy 0.688 (0.671)
Epoch: [2][4600/6349]   Loss 0.2111 (0.2303)    Accuracy 0.594 (0.671)
Epoch: [2][4800/6349]   Loss 0.3169 (0.2301)    Accuracy 0.719 (0.671)
Epoch: [2][5000/6349]   Loss 0.3275 (0.2299)    Accuracy 0.609 (0.671)
